id,permit_permit_id,boroughid,permitcategory,currentstatus,duration_start_date,duration_end_date,reason_category,occupancy_name,submittercategory,organizationname,duration_days_mon_active,duration_days_mon_all_day_round,duration_days_tue_active,duration_days_tue_all_day_round,duration_days_wed_active,duration_days_wed_all_day_round,duration_days_thu_active,duration_days_thu_all_day_round,duration_days_fri_active,duration_days_fri_all_day_round,duration_days_sat_active,duration_days_sat_all_day_round,duration_days_sun_active,duration_days_sun_all_day_round,duration_days_sat_start_time,duration_days_sat_end_time,duration_days_mon_start_time,duration_days_mon_end_time,duration_days_tue_start_time,duration_days_tue_end_time,duration_days_wed_start_time,duration_days_wed_end_time,duration_days_thu_start_time,duration_days_thu_end_time,duration_days_fri_start_time,duration_days_fri_end_time,duration_days_sun_start_time,duration_days_sun_end_time,load_date,longitude,latitude
"628e5202ebcf900013d12f3a","OCC-2206LV00657387","Ville-Marie","Travaux","Permis émis","2022-06-12T20:00:00Z","2024-12-22T18:59:59Z","Construction/rénovation sans excavation","Labelle entre René-Lévesque et Sainte-Catherine","Organisation publique ou son sous-traitant","Cegerco","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-01-20T00:11:30Z",-73.558774341327,45.514776096280364
"6573758536813c001d42058b","OCC-2312NK09150540","Verdun","Travaux","Permis émis","2024-01-07T19:00:00Z","2024-01-19T18:59:59Z","Égouts et aqueducs - Inspection et nettoyage","Rhéaume entre Gaétan-Laberge et Wellington","Entrepreneur sous contrat avec la Ville de Montréal","ORTEC ENVIRONNEMENT SERVICES INC","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00",,,"2024-01-20T00:11:30Z",-73.56539042760404,45.46798101666125
"65737ef682eb3f0019f3da2c","OCC-2312RI11082552","Lachine","Travaux","Permis émis","2024-01-07T19:00:00Z","2024-01-19T18:59:59Z","Égouts et aqueducs - Inspection et nettoyage","35e entre Victoria et Saint-Antoine","Entrepreneur sous contrat avec la Ville de Montréal","ORTEC ENVIRONNEMENT SERVICES INC","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00",,,"2024-01-20T00:11:30Z",-73.69600934174763,45.43906768695064
"65770fd6131d0e001dd01edd","OCC-2401JY14342876","Lachine","Travaux","Permis émis","2024-01-14T19:00:00Z","2024-01-19T18:59:59Z","Égouts et aqueducs - Inspection et nettoyage","Victoria entre Saint-Joseph et George-V","Entrepreneur sous contrat avec la Ville de Montréal","ORTEC ENVIRONNEMENT SERVICES INC","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00",,,"2024-01-20T00:11:30Z",-73.65836710984875,45.43963673529435
"65771a04131d0e001dd02279","OCC-2312GQ10852576","Ville-Marie","Travaux","Permis émis","2023-12-22T19:00:00Z","2024-01-31T18:59:59Z","Autre","De Bleury entre Sainte-Catherine et Mayor","Entreprise","Construction Omnia-Cogir inc.","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-01-20T00:11:30Z",-73.56788990439907,45.50668133456149
"657721eb131d0e001dd02457","OCC-2312GA09315054","Ville-Marie","Travaux","Permis émis","2023-12-08T19:00:00Z","2024-02-02T18:59:59Z","Construction/rénovation avec excavation","De La Gauchetière entre Beaver Hall et Robert-Bourassa","Entreprise","Pomerleau","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-01-20T00:11:30Z",-73.5648910212833,45.50101620884234
"6577227851803c001905fb0b","OCC-2312DJ09286847","Ville-Marie","Travaux","Permis émis","2023-12-11T19:00:00Z","2024-02-29T18:59:59Z","Construction/rénovation sans excavation","Drummond entre René-Lévesque et Sainte-Catherine","Entreprise","Pomerleau","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-01-20T00:11:30Z",-73.57268950446112,45.4977829626573
"6577275f131d0e001dd025bb","OCC-2312TP09189044","Le Sud-Ouest","Travaux","Permis émis","2022-09-09T20:00:00Z","2024-05-15T19:59:59Z","Construction/rénovation sans excavation","Lionel-Groulx entre Lionel-Groulx et Rose-de-Lima","Organisation publique ou son sous-traitant","Construction Sorel Ltée","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-01-20T00:11:30Z",-73.58179971591983,45.48145014942162
"65772e5651803c001905fe3a","OCC-2312IO09328040","Villeray-Saint-Michel-Parc-Extension","Travaux","Permis émis","2024-01-07T19:00:00Z","2024-01-19T18:59:59Z","Égouts et aqueducs - Inspection et nettoyage","Jean-Talon entre Chabot et De Lorimier","Entrepreneur sous contrat avec la Ville de Montréal","ORTEC ENVIRONNEMENT SERVICES INC","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"09:00","15:00","09:00","15:00","09:00","15:00","09:00","15:00","09:00","15:00",,,"2024-01-20T00:11:30Z",-73.60549263124227,45.54976063271111
"65773382131d0e001dd02876","OCC-2312TM09328661","Villeray-Saint-Michel-Parc-Extension","Travaux","Permis émis","2024-01-07T19:00:00Z","2024-01-19T18:59:59Z","Égouts et aqueducs - Inspection et nettoyage","Juillet entre Juillet et De Chateaubriand","Entrepreneur sous contrat avec la Ville de Montréal","ORTEC ENVIRONNEMENT SERVICES INC","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00",,,"2024-01-20T00:11:30Z",-73.6240972235799,45.544493462387805
